N,종목명,현재가,전일비,등락률,액면가,시가,고가,매출액
941.0,TIGER 200 중공업,3010.0,0.0,0.00%,0.0,3000.0,3050.0,
942.0,TIGER 중장기국채,48145.0,70.0,+0.15%,0.0,47910.0,48145.0,
943.0,SOL KIS단기통안채,101735.0,5.0,0.00%,0.0,101735.0,101735.0,
944.0,KC그린홀딩스,3000.0,235.0,-7.26%,500.0,3175.0,3490.0,7508.0
945.0,유한양행우,56800.0,100.0,-0.18%,1000.0,56600.0,57000.0,
946.0,TRUE S&P500 선물 ETN,13385.0,110.0,-0.82%,0.0,13440.0,13440.0,
947.0,부국철강,3345.0,25.0,-0.74%,500.0,3360.0,3420.0,1957.0
948.0,삼정펄프,26750.0,600.0,+2.29%,5000.0,26050.0,27550.0,1381.0
949.0,ARIRANG 신흥국MSCI(합성 H),8840.0,25.0,-0.28%,0.0,8855.0,8940.0,
950.0,TRUE 인버스 2X 나스닥 100 ETN,2225.0,35.0,+1.60%,0.0,2220.0,2225.0,
951.0,현대건설우,63200.0,300.0,+0.48%,5000.0,63500.0,63500.0,
952.0,CS홀딩스,57700.0,100.0,-0.17%,5000.0,57800.0,58000.0,1590.0
953.0,국동,1200.0,5.0,-0.41%,500.0,1220.0,1225.0,2270.0
954.0,TIGER 국채3년,105450.0,215.0,-0.20%,0.0,105380.0,105455.0,
955.0,KBSTAR 고배당,11130.0,5.0,+0.04%,0.0,11155.0,11235.0,
956.0,KOSEF 인도Nifty50(합성),19725.0,225.0,-1.13%,0.0,19950.0,19960.0,
957.0,KODEX 200exTOP,10830.0,105.0,-0.96%,0.0,10830.0,10830.0,
958.0,ACE 미국고배당S&P,11180.0,10.0,+0.09%,0.0,11235.0,11235.0,
959.0,SJM,4225.0,40.0,-0.94%,500.0,4290.0,4300.0,1457.0
960.0,파워 200,32135.0,30.0,-0.09%,0.0,32215.0,32480.0,
961.0,KODEX 미국반도체MV,10000.0,0.0,0.00%,0.0,10060.0,10085.0,
962.0,HANARO e커머스,11585.0,135.0,-1.15%,0.0,11710.0,11720.0,
963.0,신한 레버리지 은 선물 ETN(H),6535.0,120.0,-1.80%,0.0,6450.0,6580.0,
964.0,티에이치엔,3630.0,45.0,-1.22%,500.0,3675.0,3705.0,4027.0
965.0,KODEX 한국대만IT프리미어,16735.0,30.0,-0.18%,0.0,16705.0,16830.0,
966.0,TIGER 유로스탁스50(합성 H),13560.0,90.0,+0.67%,0.0,13470.0,13590.0,
967.0,서원,1365.0,5.0,-0.36%,500.0,1370.0,1390.0,2616.0
968.0,케이비아이동국실업,643.0,9.0,-1.38%,500.0,653.0,661.0,5214.0
969.0,KODEX K-신재생에너지액티브,12010.0,160.0,-1.31%,0.0,12175.0,12225.0,
970.0,KODEX 미국채울트라30년선물(H),8655.0,20.0,-0.23%,0.0,8615.0,8655.0,
971.0,TIGER 소프트웨어,9160.0,245.0,-2.60%,0.0,9370.0,9400.0,
972.0,GS우,35800.0,50.0,-0.14%,5000.0,35650.0,36000.0,
973.0,TIGER KEDI혁신기업ESG30,9540.0,60.0,-0.62%,0.0,9600.0,9650.0,
974.0,TIGER 미국S&P500레버리지(합성 H),23745.0,435.0,-1.80%,0.0,23850.0,23935.0,
975.0,KODEX 건설,3015.0,20.0,-0.66%,0.0,3025.0,3055.0,
976.0,진양화학,3945.0,35.0,-0.88%,500.0,3980.0,4020.0,348.0
977.0,KODEX 유럽탄소배출권선물ICE(H),11500.0,215.0,-1.84%,0.0,11550.0,11550.0,
978.0,KBSTAR 중국본토대형주CSI100,17185.0,105.0,+0.61%,0.0,17200.0,17245.0,
979.0,티웨이홀딩스,565.0,57.0,+11.22%,500.0,508.0,629.0,2267.0
980.0,금비,61600.0,900.0,+1.48%,5000.0,60700.0,62800.0,2286.0
981.0,DL이앤씨2우(전환),29150.0,300.0,+1.04%,5000.0,29000.0,29550.0,
982.0,모나미,3255.0,35.0,-1.06%,1000.0,3290.0,3310.0,1322.0
983.0,ARIRANG 미국S&P500(H),16615.0,155.0,-0.92%,0.0,16640.0,16665.0,
984.0,KODEX 200IT TR,11095.0,10.0,+0.09%,0.0,11230.0,11235.0,
985.0,MH에탄올,8250.0,40.0,-0.48%,500.0,8290.0,8350.0,1021.0
986.0,미래에셋증권우,4300.0,10.0,-0.23%,5000.0,4310.0,4335.0,
987.0,TIGER 차이나바이오테크SOLACTIVE,7960.0,105.0,+1.34%,0.0,7855.0,8050.0,
988.0,에쓰씨엔지니어링,1930.0,60.0,+3.21%,500.0,1885.0,1965.0,757.0
989.0,DL우,35500.0,50.0,+0.14%,5000.0,35700.0,36250.0,
990.0,동양피스톤,4545.0,190.0,-4.01%,500.0,4735.0,4750.0,3546.0
991.0,TIGER 차이나CSI300레버리지(합성),18785.0,45.0,-0.24%,0.0,18820.0,19000.0,
992.0,SJM홀딩스,3985.0,70.0,-1.73%,500.0,4055.0,4135.0,1497.0
993.0,한익스프레스,4955.0,30.0,-0.60%,500.0,4985.0,5020.0,7763.0
994.0,페이퍼코리아,1250.0,30.0,+2.46%,500.0,1225.0,1275.0,4353.0
995.0,TRUE 나스닥 100 ETN,11865.0,30.0,-0.25%,0.0,11895.0,11895.0,
996.0,TIGER 화장품,2050.0,5.0,-0.24%,0.0,2050.0,2065.0,
997.0,KB Wise 분할매매 ETN,9660.0,0.0,0.00%,0.0,9660.0,9660.0,
998.0,대림통상,3770.0,30.0,-0.79%,1000.0,3800.0,3900.0,1552.0
999.0,한국전자홀딩스,1225.0,10.0,-0.81%,500.0,1240.0,1265.0,3312.0
1000.0,우신시스템,3115.0,30.0,-0.95%,500.0,3175.0,3175.0,2623.0
1001.0,신한 레버리지 코스닥 150 선물 ETN,22800.0,510.0,-2.19%,0.0,23280.0,23670.0,
1002.0,TRUE 인버스 2X 천연가스 선물 ETN(H),385.0,5.0,+1.32%,0.0,375.0,385.0,
1003.0,에넥스,942.0,18.0,-1.87%,500.0,960.0,973.0,2018.0
1004.0,미래에셋 전기전자 Core5 ETN,28150.0,0.0,0.00%,0.0,28150.0,28150.0,
1005.0,부국증권우,18650.0,50.0,+0.27%,5000.0,18700.0,18900.0,
1006.0,KODEX Fn성장,13180.0,50.0,-0.38%,0.0,13230.0,13230.0,
1007.0,TIGER Fn반도체TOP10,7375.0,20.0,+0.27%,0.0,7390.0,7495.0,
1008.0,KR모터스,575.0,3.0,+0.52%,500.0,572.0,581.0,1335.0
1009.0,키움 미국달러선물 ETN,11005.0,15.0,-0.14%,0.0,11045.0,11045.0,
1010.0,KBSTAR Fn컨택트대표,7680.0,80.0,-1.03%,0.0,7760.0,7780.0,
1011.0,KODEX 미국종합채권SRI액티브(H),94650.0,150.0,-0.16%,0.0,94575.0,94665.0,
1012.0,갤럭시아에스엠,1970.0,10.0,-0.51%,500.0,1980.0,2030.0,289.0
1013.0,선도전기,3000.0,0.0,0.00%,500.0,0.0,0.0,833.0
1014.0,HANARO 글로벌럭셔리S&P(합성),16765.0,125.0,-0.74%,0.0,16800.0,16850.0,
1015.0,초록뱀헬스케어,632.0,17.0,+2.76%,500.0,615.0,663.0,186.0
1016.0,미래산업,12000.0,100.0,+0.84%,500.0,11800.0,12050.0,483.0
1017.0,인바이오젠,999.0,11.0,-1.09%,500.0,1000.0,1160.0,105.0
1018.0,KC코트렐,3030.0,5.0,-0.16%,500.0,3495.0,3830.0,3550.0
